"","Mean","SD","HPDlo","HPDhi"
"beta01",-19.527506127927,2.54574988161208,-24.4919089029969,-14.7330051930985
"beta11",0.00434387457571995,0.00515047689221432,-0.00520938461391704,0.014908625054282
"beta21",2.32974203751713,0.270437739541941,1.81509851824103,2.86051984702901
"beta31",-0.00836843311371362,0.0128402044850579,-0.0332491010402817,0.0168222515294734
"beta41",-0.149025734445355,0.0186618527051826,-0.185655829911411,-0.113006938116351
"beta02",-43.4377104997093,25.9288182358333,-73.3703053874076,-1.82307795658518
"beta12",-0.0136751678171023,0.0117039287140251,-0.0374442357400655,0.00889579440895038
"beta22",4.59058842503668,2.78012149412428,0.0402847773484462,7.7034240008186
"beta32",-0.0211984288962129,0.0296348460750236,-0.0828230019665985,0.03740463107277
"beta42",-0.114666337890895,0.0795759784890818,-0.203644754378725,0.0199094654639158
"sigma2_1",-89.9898083625785,20.5074880663259,-130.790862420955,-60.1627064752583
"sigma2_2",10.6225104432804,2.12054852030533,7.44358542407582,14.9334288371256
"tau01",-0.84972751782672,0.102672893443116,-1.0557621840677,-0.650019916245696
"tau11",0.357307873168933,0.0682476896278987,0.248729295305957,0.490968508579297
"tau21",1.5886235629232,1.03470522417232,0.534336369094761,3.53571942603035
"nu1",10.9864322949947,4.69671062524825,4.31637157062014,19.6613531490818
"nu2",13.5285479928257,3.99564903837133,6.68491911361009,19.9976171491026
