"","Mean","SD","HPDlo","HPDhi"
"beta01",-21.5197301608027,3.60381252438723,-29.1222941776958,-15.6688301419498
"beta11",0.00274421209549903,0.00563908845695246,-0.00905028116913864,0.0131094822911494
"beta21",2.55464883546004,0.413911788615658,1.91836406408699,3.4658041427914
"beta31",-0.00808246564675822,0.0128644261790709,-0.0331740356593856,0.0170739008166776
"beta41",-0.162670055343387,0.0377327262274926,-0.246833308605266,-0.109000481837398
"beta02",-41.541353561887,28.4646282247863,-76.5841992704997,0.0130268929181225
"beta12",-0.0128767253991665,0.0118920558868163,-0.0371118707018758,0.0100642175502908
"beta22",4.36919126335567,3.03797787241661,-0.0547790453053296,8.12031079590468
"beta32",-0.0191371496258394,0.0301739044810602,-0.0820339952051584,0.0399643892713333
"beta42",-0.105714696296969,0.0854119297248737,-0.20688157497277,0.0272626279437133
"sigma2_1",-88.5107076909603,26.3201326596207,-133.352839773288,-44.274769672113
"sigma2_2",10.5113999418539,2.64445104281597,6.11503425840404,15.1980323229896
"tau01",-0.853800819299084,0.111314033200168,-1.08112119336671,-0.647607370110264
"tau11",0.393919345084018,0.103459435146624,0.244432015287204,0.603150262325199
"tau21",1.60741157783381,1.00224664448795,0.533468817660777,3.42503422883427
"nu1",17.6464180346568,8.20059822755257,6.24494933598073,34.8521992243428
"nu2",23.3503068622166,7.80673901173271,9.89272219012496,38.0266908476069
