"","Mean","SD","HPDlo","HPDhi"
"beta01",-17.8170995924321,1.8217128151053,-21.645453069892,-14.4050219908059
"beta11",0.00497910303209389,0.00516665048283438,-0.0053541446403708,0.0148075631917172
"beta21",2.15608329381128,0.206607372332996,1.76123475680707,2.5825929717198
"beta31",-0.00940278653661629,0.0128796400640506,-0.0332467996392684,0.0172889742422149
"beta41",-0.14986945767807,0.0180512464376128,-0.186289338588877,-0.115284113318367
"beta02",-63.7734757517654,6.49508989744592,-76.7882951123329,-51.9030790115099
"beta12",-0.0141963514336458,0.00929049967707212,-0.0325159551819191,0.00360858420308876
"beta22",6.76699260222551,0.662617248505733,5.55880220509802,8.09719789168638
"beta32",-0.0189220292287864,0.0228923982239219,-0.0640972999321754,0.026489929463288
"beta42",-0.1750889599891,0.0167509704377189,-0.209087025616029,-0.143984699733478
"sigma2_1",-80.3758078929809,8.7741026092268,-97.5473135550036,-63.2561774547922
"sigma2_2",9.7030533964331,1.03241443586659,7.71529071229768,11.7460178219164
"tau01",-0.898785734191044,0.0945233158821862,-1.08185472465422,-0.716316878797538
"tau11",0.370220330554868,0.0539323001339559,0.276668836358794,0.475830678226643
"tau21",0.890729601649708,0.179472861930866,0.573397053893081,1.23336434098821
"nu1",9.86244821153265,6.56593538072447,2.40799056883545,24.1058172248163
"nu2",14.5292139054241,8.40886966683328,3.51314908880192,32.2058150736552
